unit,time,op_setting_1,op_setting_2,op_setting_3,sensor_2,sensor_3,sensor_4,sensor_6,sensor_7,sensor_8,sensor_9,sensor_11,sensor_12,sensor_13,sensor_14,sensor_15,sensor_17,sensor_20,sensor_21,kmeans_cluster,agglo_cluster,pca_1,pca_2,tsne_1,tsne_2,final_stage,y_true,y_pred,prob_Stage4,confidence
2,143,0.0001,0.0004,100.0,0.3313253012047994,0.3889252234576048,0.3079000675219454,1.0,0.6763285024154584,0.1969696969699725,0.1615812617786929,0.2678571428571423,0.6481876332622676,0.25,0.1972855815873657,0.3774528664871113,0.4166666666666714,0.5271317829457338,0.7256282794808016,4,2,-0.3138224102990772,-0.0090799391005329,-45.606007,15.3730135,3,3,4,0.5051275553333786,0.5051275553333786
2,183,-0.0015,-0.0002,100.0,0.4186746987951721,0.3032483104425623,0.4034436191762331,1.0,0.7246376811594217,0.2727272727270247,0.1902090998833401,0.2321428571428576,0.6716417910447774,0.2647058823527004,0.2183403860047477,0.3755290496344727,0.3333333333333357,0.550387596899224,0.6778514222590459,4,2,-0.3039639083654659,-0.0076626096839795,-42.418087,-12.295195,3,3,4,0.50080754975057,0.50080754975057
2,219,0.0029,0.0001,100.0,0.5030120481927725,0.4682799215173361,0.5175557056043232,1.0,0.5523349436392806,0.1818181818180164,0.2363815848514789,0.5119047619047628,0.6503198294243049,0.3529411764702672,0.2465682732996228,0.5198153135821499,0.4166666666666714,0.4961240310077528,0.6583816625241639,4,1,0.0434603808968225,0.0623703431091498,10.221019,14.545738,3,3,2,0.0005326033415386217,0.523007829660452
2,257,0.0,-0.0002,100.0,0.5572289156626482,0.4824504033137202,0.7543889264010808,1.0,0.3768115942029055,0.3636363636360329,0.2920667683747666,0.696428571428573,0.4818763326226047,0.3823529411761228,0.3002373825988229,0.6148518661023488,0.5833333333333357,0.3875968992248033,0.4406241369787338,3,4,0.5315444477234021,0.08885955216619,60.907116,14.523719,1,1,0,2.185373110313752e-12,0.4073234094296418
2,265,-0.0035,0.0004,100.0,0.5481927710843308,0.4892086330935257,0.6417960837272112,1.0,0.41867954911433,0.4242424242420384,0.2870411917795934,0.4821428571428541,0.3368869936034002,0.3529411764702672,0.3114872535865416,0.7449018853405178,0.5833333333333357,0.4031007751937956,0.2016017674675474,3,0,0.5686517147181518,0.0920940035452301,60.564625,26.032087,1,1,0,3.3117092711647445e-13,0.5264944394634634
2,266,0.002,-0.0001,100.0,0.5813253012048278,0.4469151951166381,0.6801147873058753,1.0,0.3204508856682793,0.3030303030300274,0.2773938795656434,0.5892857142857153,0.3901918976545744,0.4117647058819784,0.2999277531220983,0.5236629472874199,0.75,0.2868217054263517,0.3967136150234722,3,4,0.5641432691440054,0.0924029397144467,54.38428,23.943308,1,1,0,3.855068187244656e-13,0.48780513360641403
9,101,0.0033,0.0005,100.0,0.3795180722891587,0.3673424896446562,0.3323767724510489,1.0,0.7826086956521863,0.2121212121210192,0.2499326931705994,0.2857142857142847,0.7014925373134417,0.2647058823527004,0.267261843327482,0.5071181223547541,0.5,0.6589147286821699,0.6876553438276716,4,2,-0.2921867554570251,0.1053457331592384,-35.42976,14.194588,3,3,4,0.5163923791672109,0.5163923791672109
9,141,-0.002,-0.0001,100.0,0.4096385542168832,0.3974275125354296,0.3462187711006059,1.0,0.7198067632850353,0.1212121212120109,0.3271560621017642,0.2619047619047627,0.7569296375266532,0.1176470588234224,0.3671689544844696,0.4601769911504405,0.5,0.6279069767441854,0.50524716929025,4,2,-0.269880732722699,0.2883134007468234,-1.3904052,35.454243,3,3,4,0.5666765281684297,0.5666765281684297
9,142,0.001,-0.0002,100.0,0.2831325301204686,0.2559407019838673,0.3609047940580723,1.0,0.6827697262479973,0.1969696969699725,0.3635466211971661,0.2738095238095255,0.6076759061833599,0.2205882352941444,0.3835277118381697,0.3316660253943837,0.5,0.5658914728682127,0.5509527754763823,4,2,-0.263734362658434,0.2303400142325642,2.81232,34.861427,3,3,4,0.5035511338646189,0.5035511338646189
9,145,0.0024,-0.0004,100.0,0.286144578313241,0.454763461957711,0.2903443619176222,1.0,0.6876006441223836,0.0909090909090082,0.3151305752490287,0.2976190476190474,0.6737739872068289,0.2205882352941444,0.3895654866343321,0.4397845325125047,0.3333333333333357,0.5581395348837184,0.4987572493786274,4,1,-0.2696256328178357,0.24933273415757,-1.7103395,36.757664,3,3,4,0.5436291535067599,0.5436291535067599
