unit,time,op_setting_1,op_setting_2,op_setting_3,sensor_2,sensor_3,sensor_4,sensor_6,sensor_7,sensor_8,sensor_9,sensor_10,sensor_11,sensor_12,sensor_13,sensor_14,sensor_15,sensor_17,sensor_20,sensor_21,kmeans_cluster,agglo_cluster,pca_1,pca_2,tsne_1,tsne_2,final_stage,y_true,y_pred,prob_stage4,confidence,prob_Stage4
8,47,-0.0037,0.0001,100.0,0.5199063231849834,0.4157369348209059,0.40436817472699,1.0,0.1891762452107244,0.7176470588233315,0.1550584646670074,0.3333333333333357,0.4400000000000013,0.1721854304635748,0.7142857142857792,0.1649290092733224,0.6747947851279577,0.2727272727272734,0.3511904761904709,0.4163651544670195,4,4,-0.1872752881107755,0.140168305391426,-44.961258,26.552574,4,4,3,0.40639919763249494,0.58049893,0.4174953
20,15,-0.0013,-0.0002,100.0,0.3489461358313974,0.3761988647484848,0.4001560062402483,0.9375,0.266762452107276,0.7058823529409892,0.2047418773397424,0.3333333333333357,0.2285714285714313,0.29139072847682,0.6488095238096321,0.2153298056268582,0.6004345726702063,0.2727272727272734,0.5238095238095184,0.6251971425920786,2,1,-0.0980835039067398,-0.2068885500758377,-10.992286,-27.81247,2,2,4,0.341986000389906,0.55514413,0.55514413
20,50,-0.0031,0.0002,100.0,0.3114754098360492,0.3309845370914104,0.3146645865834614,0.9375,0.3295019157088141,0.6294117647057647,0.1924019041456759,0.3333333333333357,0.2285714285714313,0.3000509424350461,0.625,0.2077330119976892,0.5468372766779339,0.2727272727272734,0.5714285714285694,0.5122924204471673,4,1,-0.1288660679499766,-0.2820622093257016,-7.0707226,-28.20827,4,4,2,0.2215472040541773,0.56906295,0.4294161
20,54,0.0011,-0.0003,100.0,0.1873536299765703,0.4247406537482874,0.3347893915756614,0.9375,0.286877394636015,0.6176470588234224,0.1896750935896847,0.3333333333333357,0.2000000000000028,0.2791645440652068,0.6607142857144481,0.1769267040393956,0.6014002897151158,0.3636363636363668,0.6249999999999964,0.5151683829668805,4,2,-0.133365220594992,-0.2530752847818405,4.3110604,-12.055435,4,4,2,0.5220050422008271,0.51419854,0.48013535
20,86,-0.0006,0.0002,100.0,0.3372365339578209,0.3822665883734579,0.1851794071762889,0.9375,0.277777777777775,0.676470588235361,0.1732680131256572,0.3333333333333357,0.2171428571428606,0.2924095771777892,0.6428571428573377,0.1998742599675154,0.503380009657171,0.1818181818181798,0.5416666666666643,0.6134149735596992,4,1,-0.1615802879574239,-0.3621342604896639,-14.555378,-30.98622,4,4,2,0.39676413202014715,0.5576905,0.43841812
20,100,0.0002,-0.0002,100.0,0.257611241217802,0.4055588177725582,0.3156006240249596,0.9375,0.2696360153256698,0.647058823529278,0.1666127466839242,0.3333333333333357,0.360000000000003,0.2847682119205288,0.6547619047621538,0.2141247969822401,0.5760502172863369,0.3636363636363668,0.6011904761904745,0.4673902959458225,4,2,-0.0919849733617999,-0.1655519525120091,4.7539244,-6.239217,4,4,2,0.4134218358309226,0.6542776,0.34198466
20,102,-0.0019,-0.0004,100.0,0.4355971896955566,0.329418672930128,0.3029641185647413,0.9375,0.3002873563218386,0.6117647058822513,0.1660119240190383,0.3333333333333357,0.1657142857142872,0.3041263372389196,0.6488095238096321,0.2285325090375636,0.4297440849831027,0.1818181818181798,0.5059523809523796,0.602746080341408,4,1,-0.1338592274941568,-0.3477501195292537,-13.0130825,-30.450554,4,4,2,0.2929672615940499,0.90675545,0.09138799
20,302,0.0006,0.0004,100.0,0.5362997658079678,0.6255627324329609,0.6762870514820598,0.875,0.6642720306513432,0.7882352941173849,0.3340111845449911,0.6666666666666714,0.5428571428571445,0.6474783494651035,0.7976190476190368,0.4038350709907234,0.2551907291163715,0.5454545454545467,0.8214285714285658,0.7799424807496074,0,0,0.9031135567704024,-0.2220593283353963,67.106514,5.442417,0,0,1,0.0,0.94750965,0.00047860725
20,307,0.001,0.0003,100.0,0.5199063231849834,0.5693873556468994,0.5110764430577213,0.8125,0.6317049808429083,0.870588235294008,0.3594306049822009,0.6666666666666714,0.668571428571429,0.6714212939378541,0.8333333333332575,0.3721381044690091,0.3314823756639313,0.6363636363636402,0.773809523809522,0.7480285740792283,0,0,0.8971960649342257,-0.1685695738923255,58.445045,3.659635,0,0,1,0.0,0.94680256,0.00037843612
24,328,0.0035,-0.0004,100.0,0.3161592505854855,0.3554511646114733,0.2218408736349459,0.8125,0.266762452107276,0.647058823529278,0.170310116929329,0.3333333333333357,0.3257142857142874,0.278655119714724,0.625,0.2340336354586867,0.4159826170931922,0.5454545454545467,0.452380952380949,0.4522682994711928,2,1,-0.079900408005068,-0.173650224261048,2.040577,-79.914314,2,2,4,0.6550624101910891,0.5594867,0.5594867
