unit,time,op_setting_1,op_setting_2,op_setting_3,sensor_2,sensor_3,sensor_4,sensor_6,sensor_7,sensor_8,sensor_9,sensor_10,sensor_11,sensor_12,sensor_13,sensor_14,sensor_15,sensor_17,sensor_20,sensor_21
1,1,-0.0005,0.0004,100.0,0.35597189695550924,0.37052260716383145,0.30858034321372685,1.0,0.2088122605363978,0.6235294117645935,0.20423348893099558,0.3333333333333357,0.34857142857142875,0.2312786551197128,0.6428571428573377,0.23911562843819922,0.6477547078705932,0.2727272727272734,0.5595238095238066,0.4463308284627523
1,2,0.0008,-0.0003,100.0,0.3887587822013927,0.3990996281072654,0.3093603744149789,1.0,0.2365900383141728,0.647058823529278,0.20243102093635912,0.3333333333333357,0.3085714285714296,0.23688232297503475,0.6547619047621538,0.27856656362969545,0.6856591018831502,0.36363636363636687,0.48809523809523725,0.5348362556823467
1,3,-0.0014,-0.0002,100.0,0.3138173302107532,0.3532981013897043,0.44539781591263505,1.0,0.23084291187739225,0.6647058823530188,0.24148449415353213,0.3333333333333357,0.30285714285714604,0.21701477330616115,0.636904761904816,0.26452559333577597,0.5644616127474649,0.2727272727272734,0.40476190476190155,0.45857686241766515
1,4,-0.002,0.0001,100.0,0.48711943793909995,0.4171070659620284,0.23728549141965516,1.0,0.26819923371647647,0.647058823529278,0.21532559966723142,0.3333333333333357,0.3142857142857167,0.24044829342842533,0.6845238095238528,0.24561219678314927,0.5589087397392589,0.36363636363636687,0.47023809523809135,0.3919658595417026
1,5,0.0016,0.0,100.0,0.19672131147538607,0.4762184380505019,0.3212168486739486,1.0,0.2456896551724128,0.6705882352939625,0.2687988168415174,0.3333333333333357,0.26285714285714334,0.2450331125827816,0.6547619047621538,0.2521087651280922,0.5567358763882204,0.36363636363636687,0.577380952380949,0.5433713702569847
1,6,0.0011,-0.0005,100.0,0.3278688524590052,0.3873556468976318,0.3580343213728554,1.0,0.24616858237547845,0.647058823529278,0.2634376299856669,0.3333333333333357,0.21714285714286063,0.23688232297503475,0.6488095238096321,0.23701996123015334,0.6250603573153093,0.45454545454545325,0.4464285714285694,0.5153539289358946
1,7,-0.0038,0.0002,100.0,0.407494145199081,0.4171070659620284,0.37488299531981184,1.0,0.23802681992337327,0.6705882352939625,0.2619124647594333,0.3333333333333357,0.39428571428571857,0.2389200203769768,0.6488095238096321,0.2481793891130053,0.5502172863351049,0.2727272727272734,0.39880952380952195,0.4973559699415553
1,8,-0.0007,-0.0005,100.0,0.3466042154566935,0.4701507144255217,0.312324492979716,0.9375,0.2509578544061313,0.6823529411763047,0.21056523547626682,0.3333333333333357,0.3542857142857194,0.22058074375955172,0.6190476190474783,0.3020904280400245,0.6342346692419127,0.2727272727272734,0.5238095238095184,0.5440207811485287
1,9,-0.0026,0.0,100.0,0.18735362997657035,0.4601683303973374,0.45943837753510053,1.0,0.21647509578544089,0.6705882352939625,0.2274807043490341,0.3333333333333357,0.3542857142857194,0.20682628629648647,0.6428571428573377,0.24896526431601984,0.6103331723804928,0.36363636363636687,0.48809523809523725,0.5535763985527424
1,10,0.0019,-0.0002,100.0,0.37002341920373283,0.45194754355059885,0.39297971918876584,1.0,0.2476053639846718,0.6411764705881069,0.24060636872025043,0.3333333333333357,0.3771428571428608,0.21344880285277767,0.6309523809522943,0.278618955309895,0.5852245292129403,0.2727272727272734,0.4583333333333286,0.5617404211893522
