unit,time,op_setting_1,op_setting_2,op_setting_3,sensor_2,sensor_3,sensor_4,sensor_6,sensor_7,sensor_8,sensor_9,sensor_10,sensor_11,sensor_12,sensor_13,sensor_14,sensor_15,sensor_17,sensor_20,sensor_21,kmeans_cluster,agglo_cluster,pca_1,pca_2,tsne_1,tsne_2,final_stage
1,1,-0.0005,0.0004,100.0,0.3559718969555092,0.3705226071638314,0.3085803432137268,1.0,0.2088122605363978,0.6235294117645935,0.2042334889309955,0.3333333333333357,0.3485714285714287,0.2312786551197128,0.6428571428573377,0.2391156284381992,0.6477547078705932,0.2727272727272734,0.5595238095238066,0.4463308284627523,4,2,-0.1888815493139042,-0.1024269173239893,-33.26903,-7.125171,4
1,2,0.0008,-0.0003,100.0,0.3887587822013927,0.3990996281072654,0.3093603744149789,1.0,0.2365900383141728,0.647058823529278,0.2024310209363591,0.3333333333333357,0.3085714285714296,0.2368823229750347,0.6547619047621538,0.2785665636296954,0.6856591018831502,0.3636363636363668,0.4880952380952372,0.5348362556823467,4,2,-0.1434567667682131,-0.0665176908476237,-8.921116,-1.7119685,4
1,3,-0.0014,-0.0002,100.0,0.3138173302107532,0.3532981013897043,0.445397815912635,1.0,0.2308429118773922,0.6647058823530188,0.2414844941535321,0.3333333333333357,0.302857142857146,0.2170147733061611,0.636904761904816,0.2645255933357759,0.5644616127474649,0.2727272727272734,0.4047619047619015,0.4585768624176651,4,2,-0.1733022461313984,-0.0620612295047324,-38.941288,2.5295944,4
1,4,-0.002,0.0001,100.0,0.4871194379390999,0.4171070659620284,0.2372854914196551,1.0,0.2681992337164764,0.647058823529278,0.2153255996672314,0.3333333333333357,0.3142857142857167,0.2404482934284253,0.6845238095238528,0.2456121967831492,0.5589087397392589,0.3636363636363668,0.4702380952380913,0.3919658595417026,4,2,-0.126934665948647,-0.0551909858843555,-9.974409,10.8977375,4
1,5,0.0016,0.0,100.0,0.196721311475386,0.4762184380505019,0.3212168486739486,1.0,0.2456896551724128,0.6705882352939625,0.2687988168415174,0.3333333333333357,0.2628571428571433,0.2450331125827816,0.6547619047621538,0.2521087651280922,0.5567358763882204,0.3636363636363668,0.577380952380949,0.5433713702569847,2,2,-0.0936692341771989,-0.1890974456628796,4.310718,-8.701614,2
1,6,0.0011,-0.0005,100.0,0.3278688524590052,0.3873556468976318,0.3580343213728554,1.0,0.2461685823754784,0.647058823529278,0.2634376299856669,0.3333333333333357,0.2171428571428606,0.2368823229750347,0.6488095238096321,0.2370199612301533,0.6250603573153093,0.4545454545454532,0.4464285714285694,0.5153539289358946,4,2,-0.1387466332798435,-0.074673333594705,17.219141,1.221171,4
1,7,-0.0038,0.0002,100.0,0.407494145199081,0.4171070659620284,0.3748829953198118,1.0,0.2380268199233732,0.6705882352939625,0.2619124647594333,0.3333333333333357,0.3942857142857185,0.2389200203769768,0.6488095238096321,0.2481793891130053,0.5502172863351049,0.2727272727272734,0.3988095238095219,0.4973559699415553,4,2,-0.1069970289451154,-0.029980856143544,-34.012466,1.7538133,4
1,8,-0.0007,-0.0005,100.0,0.3466042154566935,0.4701507144255217,0.312324492979716,0.9375,0.2509578544061313,0.6823529411763047,0.2105652354762668,0.3333333333333357,0.3542857142857194,0.2205807437595517,0.6190476190474783,0.3020904280400245,0.6342346692419127,0.2727272727272734,0.5238095238095184,0.5440207811485287,4,2,-0.1175725050541165,-0.1148145259395069,-28.186434,-1.5220507,4
1,9,-0.0026,0.0,100.0,0.1873536299765703,0.4601683303973374,0.4594383775351005,1.0,0.2164750957854408,0.6705882352939625,0.2274807043490341,0.3333333333333357,0.3542857142857194,0.2068262862964864,0.6428571428573377,0.2489652643160198,0.6103331723804928,0.3636363636363668,0.4880952380952372,0.5535763985527424,4,2,-0.1102587503942347,-0.0544281359380121,0.68620324,3.2942717,4
1,10,0.0019,-0.0002,100.0,0.3700234192037328,0.4519475435505988,0.3929797191887658,1.0,0.2476053639846718,0.6411764705881069,0.2406063687202504,0.3333333333333357,0.3771428571428608,0.2134488028527776,0.6309523809522943,0.278618955309895,0.5852245292129403,0.2727272727272734,0.4583333333333286,0.5617404211893522,4,2,-0.1017414616697212,-0.0623120675899893,-29.109077,0.69686806,4
1,11,0.0026,-0.0002,100.0,0.3372365339578209,0.3538853004501874,0.2312012480499241,1.0,0.224616858237546,0.6529411764706765,0.2322872856680646,0.3333333333333357,0.3771428571428608,0.2272032603158429,0.6547619047621538,0.234976685702307,0.6450989859971052,0.3636363636363668,0.4761904761904745,0.5010668893218302,4,2,-0.1687082270066342,-0.0865465195808221,-7.9194694,-2.8666124,4
1,12,-0.0036,-0.0004,100.0,0.2435597189695499,0.3707183401839913,0.3226209048361923,0.9375,0.2270114942528742,0.6705882352939625,0.2647317095715635,0.3333333333333357,0.3257142857142874,0.2221090168110038,0.625,0.2586053334730422,0.4893771125060375,0.3636363636363668,0.5476190476190474,0.4577419055571035,4,2,-0.1224870228051362,-0.1694853828121058,-15.033045,-7.410797,4
