unit,time,op_setting_1,op_setting_2,op_setting_3,sensor_2,sensor_3,sensor_4,sensor_6,sensor_7,sensor_8,sensor_9,sensor_11,sensor_12,sensor_13,sensor_14,sensor_15,sensor_17,sensor_20,sensor_21,kmeans_cluster,agglo_cluster,pca_1,pca_2,tsne_1,tsne_2,final_stage
1,1,-0.0007,-0.0004,100.0,0.1837349397590344,0.4068018312622641,0.3097569209993231,1.0,0.72624798711756,0.2424242424240219,0.1097550031409895,0.3690476190476204,0.6332622601279212,0.2058823529409892,0.1996078026628112,0.3639861485186628,0.3333333333333357,0.7131782945736447,0.7246616956641816,1,2,-0.406218883560857,-0.0594679283563009,-56.340263,-3.2852187,4
1,2,0.0019,-0.0003,100.0,0.2831325301204686,0.4530194026596916,0.3526333558406485,1.0,0.628019323671495,0.2121212121210192,0.1002423045858407,0.3809523809523831,0.7654584221748308,0.2794117647058556,0.1628134998451855,0.4113120430935026,0.3333333333333357,0.6666666666666643,0.731013532173435,1,2,-0.331361751525318,-0.0792170861444602,-36.288258,-5.984404,4
1,3,-0.0043,0.0003,100.0,0.3433734939759176,0.3695225637671697,0.370526671168129,1.0,0.7101449275362341,0.2727272727270247,0.1400430763708158,0.2500000000000035,0.7953091684434952,0.2205882352941444,0.1717927546702427,0.3574451712197017,0.1666666666666714,0.6279069767441854,0.6213753106876538,1,2,-0.4179044778377421,-0.0603366928268949,-61.017742,-7.035258,4
1,4,0.0007,0.0,100.0,0.3433734939759176,0.256158709396125,0.3311951384199858,1.0,0.7407407407407476,0.3181818181819835,0.1245176343892993,0.1666666666666678,0.8891257995735629,0.294117647058556,0.1748890494375032,0.1666025394382444,0.3333333333333357,0.5736434108527142,0.6623860811930413,1,2,-0.517427472684457,-0.0874383900069468,-60.652504,-3.2448587,4
1,5,-0.0019,-0.0002,100.0,0.3493975903614341,0.257466753869636,0.4046252532072927,1.0,0.6682769726247955,0.2424242424240219,0.149959615902361,0.2559523809523831,0.7462686567164241,0.2352941176468448,0.1747342346991445,0.4020777222008433,0.4166666666666714,0.5891472868217029,0.7045015189174251,1,2,-0.3435187567146244,-0.0423870704712991,-42.330826,12.616894,4
1,6,-0.0043,-0.0001,100.0,0.2680722891566347,0.2927839546544604,0.2721134368669808,1.0,0.7761674718196474,0.1818181818180164,0.1254150587813001,0.1845238095238066,0.63752665245201,0.2205882352941444,0.1698317679843128,0.3305117352828048,0.25,0.651162790697672,0.652720243026792,1,2,-0.5039880007300804,-0.0660314857838961,-62.43597,-13.003237,4
1,7,0.001,0.0001,100.0,0.3825301204819311,0.4639197732722948,0.2619851451721793,1.0,0.7230273752012977,0.1818181818180164,0.1678183613030555,0.3035714285714306,0.7739872068230369,0.2205882352941444,0.1670967076065608,0.2789534436321688,0.3333333333333357,0.7441860465116292,0.6672190002761695,1,2,-0.4428750183910104,-0.0048860445179372,-62.796074,22.794344,4
1,8,-0.0034,0.0003,100.0,0.4066265060240823,0.2598648354044073,0.3160027008777852,1.0,0.6441223832528209,0.1515151515150137,0.0855694157767175,0.2321428571428576,0.8059701492537386,0.2205882352941444,0.1606460935080988,0.3181993074259353,0.25,0.6434108527131777,0.5749792874896471,1,2,-0.4457721697247382,-0.0764497276410695,-57.734795,-9.385328,4
1,9,0.0008,0.0001,100.0,0.2740963855421796,0.434706780030524,0.2118501012829163,1.0,0.6183574879227081,0.2272727272729753,0.1109665260701788,0.2619047619047627,0.660980810234534,0.25,0.1328826504283213,0.1843016544824962,0.3333333333333357,0.7054263565891432,0.7075393537696755,1,2,-0.461571855923741,-0.1111419404094935,-53.962807,2.1129055,4
1,10,-0.0033,0.0001,100.0,0.1506024096385658,0.4403749727490762,0.3073936529372041,1.0,0.6022544283413964,0.2272727272729753,0.134479045140452,0.1071428571428576,0.660980810234534,0.2647058823527004,0.1519248632469825,0.3989996152366259,0.4166666666666714,0.6279069767441854,0.7942557304611952,1,2,-0.4299194908649538,-0.0725025729998029,-39.760693,-9.462074,4
